Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Кемеровская область,2022,244.32747829582644,31908,4.3,2.9494523302790228,18.2,6.5067,71.92,56.5,14.2,16.2,18.2,14.8
Кировская область,2022,301.6074126156481,29765,3.8,6.030731520811184,19.5,9.0732,75.03,53.7,14.3,16.8,19.5,15.5
Костромская область,2022,288.06427726143437,31395,3.2,7.840688036030857,20.2,8.5795,74.01,54.8,14.7,16.7,20.2,15.9
Краснодарский край,2022,238.78428859051422,48587,3.2,7.4666256825381225,16.9,5.7731,75.54,56.5,12.3,14.5,16.9,13.9
Красноярский край,2022,215.83670771473564,41586,2.6,5.03394622928905,16.5,6.3929,73.14,58.4,12.2,14.3,16.5,13.5
Курганская область,2022,290.80758015982764,27042,5.8,4.331084139330187,20.4,6.5511,73.21,52.8,15.2,17.4,20.4,15.7
Курская область,2022,274.35732862405814,37219,2.3,8.608514033773751,21.4,5.5303,74.32,55.7,15.0,17.7,21.4,16.4
Ленинградская область,2022,242.4200731597161,40603,3.3,6.083927614521482,16.9,9.2283,75.23,58.9,12.5,14.9,16.9,13.6
Липецкая область,2022,264.73017379232783,39565,3.8,8.512408230192703,21.1,5.6479,74.79,55.8,14.3,17.8,21.1,15.5
Магаданская область,2022,208.23062829729153,85406,3.5,3.609814827055459,15.0,10.5262,71.82,61.1,11.6,12.5,15.0,12.4
Московская область,2022,206.6666924209843,60046,3.2,11.493887122619054,16.3,9.3429,75.55,58.9,12.0,14.5,16.3,13.0
Мурманская область,2022,228.9399314533101,57009,4.5,4.3707008074229385,15.9,11.0428,73.77,60.5,11.4,13.5,15.9,12.1
Нижегородская область,2022,266.6200909769894,42209,3.8,8.492794340808917,19.9,7.4168,74.14,56.4,14.6,17.3,19.9,15.3
Новгородская область,2022,281.6475176158658,33290,2.7,2.9115387502262813,22.3,8.2912,72.85,54.4,16.4,18.2,22.3,16.9
Новосибирская область,2022,232.81567918692883,39694,4.4,4.186304875892301,17.0,6.0584,74.12,57.3,12.7,15.3,17.0,13.8
Омская область,2022,243.95947799044794,33878,4.2,8.752468965896893,17.9,5.1794,74.33,56.3,12.6,15.6,17.9,13.8
Оренбургская область,2022,248.5207036821694,29056,3.1,9.731327766670587,18.8,5.7408,73.84,55.9,13.0,16.3,18.8,13.3
Орловская область,2022,280.97681342717067,33636,3.5,9.481055294045174,20.8,5.7025,74.07,55.7,15.3,18.4,20.8,17.2
