Регион,Год,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
Республика Коми,2020,226.904176904177,36687,7.5,5.17962356639736,314.8,10.58,72.32,57.3,11.8,11.9,12.0,13.5,16.2
Республика Крым,2020,276.275644397685,23033,6.4,14.7945984159277,206.4,6.5711,73.38,54.1,14.4,14.1,14.0,16.1,18.8
Республика Марий Эл,2020,254.37037037037,21271,6.9,14.9460440565141,256.4,6.242,73.92,54.9,12.4,12.7,12.0,14.4,16.7
Республика Мордовия,2020,279.8459563543,20635,5.7,15.6813920179615,333.3,5.3348,74.96,57.3,13.5,13.4,13.2,16.7,18.6
Республика Саха (Якутия),2020,167.107942973523,46344,7.5,13.638671801261,229.6,5.7138,73.85,58.6,8.1,7.8,7.8,9.3,10.7
Республика Северная Осетия – Алания,2020,229.292929292929,23963,14.8,14.549190721265,313.5,0.6941,76.59,56.0,10.3,10.2,10.3,12.3,14.1
Республика Татарстан,2020,244.684129429892,35694,3.5,12.3359401260381,289.0,6.679,76.08,56.0,11.3,11.4,11.0,13.9,15.5
Республика Тыва,2020,109.69696969697,18975,18.3,0.0,164.1,1.4608,68.86,54.8,8.7,8.8,8.3,9.4,9.0
Республика Хакасия,2020,231.203007518797,23843,7.7,5.83680376593478,419.8,6.4635,72.4,55.1,12.6,12.4,12.5,14.0,16.1
Ростовская область,2020,266.754364984454,31519,5.4,11.4244565272818,333.4,3.8677,74.56,56.4,13.4,13.5,13.3,15.5,18.9
Рязанская область,2020,299.36247723133,27328,6.4,17.0966846182058,397.3,6.5798,74.17,54.4,15.3,15.4,15.2,18.1,21.9
Самарская область,2020,268.51616994293,29973,4.6,12.189290768066,319.1,6.4294,73.82,55.9,13.7,13.5,13.2,16.7,18.4
Саратовская область,2020,276.0751565762,24095,6.3,13.5156465831812,337.2,4.5199,74.36,56.0,13.6,13.9,13.7,16.8,20.3
Сахалинская область,2020,229.072164948454,60797,5.6,7.7165237880383,330.9,11.6369,71.7,57.5,12.0,12.7,12.5,13.7,15.6
Свердловская область,2020,252.867132867133,37447,5.6,12.5669388528173,410.4,7.7615,72.74,55.1,13.3,13.5,13.3,15.7,17.9
